company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,eps_ratio,dividend_payout_ratio,id,company_name,roe_percentage,roce_percentage,roe_difference,roce_difference,category
ADANIPOWER,Mar 2013,-34.294680215182304,14.34548714883443,-53.459119496855344,2.0829717063009894,-4.1965330602691635,9.735616119263918,1,0.6899588960657663,,1,41773.0,0.12236688121708601,-10.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,110.55911949685535,30.117028293699015,Formula Difference
ADANIPOWER,Mar 2014,-1.8984864300626305,29.964770354906058,-4.447501146263182,9.060422543546446,-0.49541190691023,6.747669264863212,1,1.1364728495915426,,1,44035.0,0.2609509865676978,-1.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,61.54750114626319,23.13957745645356,Formula Difference
ADANIPOWER,Mar 2015,-4.367606915377617,25.03880533104962,-14.253275109170305,9.26942358372798,-1.3954920135444813,7.815196506550218,1,1.2060032894736843,,1,44385.0,0.3195095256011219,-3.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,71.35327510917031,22.930576416272025,Formula Difference
ADANIPOWER,Mar 2016,2.171257437837412,34.6849509398274,7.378146759507231,14.621991129126036,0.7269704725967755,7.06065881092662,1,1.5469424460431656,,0,52729.0,0.33481542074570547,2.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,49.72185324049277,17.578008870873965,Formula Difference
ADANIPOWER,Mar 2017,-27.299257163070394,26.44145737530951,-205.79999999999998,10.77788191190253,-8.633636783152241,17.494666666666667,1,0.3920704845814978,,1,52320.0,0.31625903707121983,-16.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,262.9,21.422118088097474,Formula Difference
ADANIPOWER,Mar 2018,-10.35756501182033,26.773049645390074,-236.55793025871765,10.118382845655573,-3.0246807041767347,59.43194600674916,1,1.111310592459605,,1,52835.0,0.29202623403520883,-5.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,293.65793025871767,22.08161715434443,Formula Difference
ADANIPOWER,Mar 2019,-4.119912912409982,20.86333947412494,-12.759336099585061,9.11102172164119,-1.4473780981098772,6.091804979253112,1,1.313593777620647,,1,46977.0,0.3513127895859381,-3.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,69.85933609958506,23.088978278358812,Formula Difference
ADANIPOWER,Mar 2020,-8.595284872298626,21.66389602538915,-35.102607622280516,9.296368352788587,-3.032322559146951,8.517049837987965,1,1.139604891815616,,1,55196.0,0.3527890703098967,-6.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,92.20260762228051,22.903631647211416,Formula Difference
ADANIPOWER,Mar 2021,4.84344609282636,33.13374775942947,9.685045374818882,13.237445148707947,1.6115524198665077,4.005109433386716,0,2.0754014884449665,,0,52499.0,0.3327284724513362,3.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,47.41495462518112,18.962554851292055,Formula Difference
ADANIPOWER,Mar 2022,17.725812854101257,35.6573201977554,26.613209080565635,14.61643146652466,5.991632207462705,2.662675407704394,0,3.3672771672771673,,0,48962.0,0.33801734548248985,13.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,30.486790919434366,17.583568533475344,Formula Difference
ADANIPOWER,Mar 2023,27.666159440848016,26.038738297268715,35.90507430713616,13.978345748068563,12.499271740017011,1.4175257731958764,0,4.2927414517096585,,0,41696.0,0.4517891891262045,28.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,21.19492569286384,18.22165425193144,Formula Difference
ADANIPOWER,Mar 2024,41.36759945184802,36.20186292228556,48.27674122146251,23.441056570774553,22.638002804073516,0.8023177656738903,0,8.297225501770956,,0,34242.0,0.5472399439185297,54.0,0.0,ADANIPOWER,Adani Power Ltd,57.1,32.2,8.823258778537493,8.75894342922545,Formula Difference
AMBUJACEM,Dec 2012,13.252641296543235,25.36670427736178,14.686825053995682,27.921418087388506,10.46577561765897,0.006820506991019666,0,32.58974358974359,,0,-1521.0,0.7897124341838802,8.0,43.0,AMBUJACEM,Ambuja Cements Ltd,9.24,12.8,5.446825053995681,15.121418087388506,Formula Difference
AMBUJACEM,Dec 2014,14.937217478653944,19.427423405323957,14.766633565044687,19.1409342834521,10.714800403516357,0.0033763654419066533,0,35.65151515151515,,0,-2063.0,0.7173223807465052,10.0,46.0,AMBUJACEM,Ambuja Cements Ltd,9.24,12.8,5.526633565044687,6.3409342834521,Formula Difference
AMBUJACEM,Dec 2017,8.238383667245541,16.34122580371892,9.408862229102168,18.641283339775804,5.477484581373736,0.0011609907120743034,0,20.354368932038835,,0,-129.0,0.6648736939930722,8.0,47.0,AMBUJACEM,Ambuja Cements Ltd,9.24,12.8,0.1688622291021673,5.841283339775803,Source Difference
AMBUJACEM,Dec 2018,11.416612265273992,15.402634307438271,13.29012069736254,17.89825970548862,7.951111229975128,0.001788109074653554,0,24.958823529411763,,0,-93.0,0.6964510176245621,11.0,14.0,AMBUJACEM,Ambuja Cements Ltd,9.24,12.8,4.050120697362539,5.098259705488619,Source Difference
AMBUJACEM,Dec 2019,10.267857142857142,16.960596221959857,11.558268959215882,19.059662506737425,6.926676290507243,0.0017027992358169283,0,30.576470588235296,,0,-109.0,0.6745980387276619,11.0,14.0,AMBUJACEM,Ambuja Cements Ltd,9.24,12.8,2.3182689592158816,6.259662506737424,Source Difference
AMBUJACEM,Dec 2020,12.673356175558819,20.41931799641051,13.65294195192688,21.551575684518685,7.822649680245733,0.02069692841762974,0,37.81428571428572,,0,304.0,0.6172516239488394,12.0,151.0,AMBUJACEM,Ambuja Cements Ltd,9.24,12.8,4.41294195192688,8.751575684518684,Source Difference
AMBUJACEM,Dec 2021,12.812014500258934,21.439668565510097,14.636743709079436,24.04088111184236,8.209268886185155,0.01881359943204228,0,44.26027397260274,,0,279.0,0.6407477048999004,14.0,45.0,AMBUJACEM,Ambuja Cements Ltd,9.24,12.8,5.396743709079436,11.24088111184236,Formula Difference
